 Country , Year , IMF based exchange rate , Population , Currency ,  Per capita GNI  ,  Exports of goods and services  ,  Final consumption expenditure  , Gross National Income(GNI) in USD ,  Gross Domestic Product (GDP)  
 Afghanistan ,2017,68.027USD,356.4M, Afghani , $0.5K , $44.41M , $17.93B ,$19.15B, $18.90B 
 Afghanistan ,2018,72.083USD,366.9M, Afghani , $0.5K , $30.75M , $19.96B ,$18.61B, $18.42B 
 Afghanistan ,2019,77.738USD,377.7M, Afghani , $0.5K , $23.06M , $22.66B ,$19.21B, $18.90B 
 Afghanistan ,2020,76.814USD,389.7M, Afghani , $0.5K , $14.76M , $23.26B ,$20.33B, $20.14B 
 Afghanistan ,2021,82.526USD,401.0M, Afghani , $0.4K , $18.04M , $17.11B ,$15.11B, $14.94B 
 Albania ,1970,5.000USD,23.2M, Lek , $1.0K , $5.09M , $1.52B ,$2.27B, $2.27B 
 Albania ,1971,5.000USD,23.9M, Lek , $1.0K , $5.23M , $1.56B ,$2.33B, $2.33B 
 Albania ,1972,5.000USD,24.6M, Lek , $1.0K , $5.38M , $1.61B ,$2.40B, $2.40B 
 Albania ,1973,5.000USD,25.2M, Lek , $1.0K , $5.53M , $1.65B ,$2.47B, $2.47B 
 Albania ,1974,5.000USD,25.9M, Lek , $1.0K , $5.70M , $1.70B ,$2.54B, $2.54B 
 Albania ,1975,5.000USD,26.5M, Lek , $1.0K , $5.87M , $1.75B ,$2.61B, $2.61B 
 Albania ,1976,5.000USD,27.1M, Lek , $1.0K , $6.00M , $1.80B ,$2.69B, $2.69B 
 Albania ,1977,5.000USD,27.7M, Lek , $1.0K , $6.22M , $1.85B ,$2.76B, $2.76B 
 Albania ,1978,5.000USD,28.3M, Lek , $1.0K , $6.44M , $1.91B ,$2.84B, $2.84B 
 Albania ,1979,6.167USD,28.9M, Lek , $0.8K , $5.18M , $1.58B ,$2.37B, $2.37B 
 Albania ,1980,7.000USD,29.4M, Lek , $0.7K , $4.95M , $1.45B ,$2.14B, $2.14B 
 Albania ,1981,7.000USD,29.9M, Lek , $0.7K , $5.09M , $1.48B ,$2.22B, $2.22B 
 Albania ,1982,7.000USD,30.4M, Lek , $0.8K , $4.42M , $1.50B ,$2.28B, $2.28B 
 Albania ,1983,7.000USD,30.9M, Lek , $0.7K , $4.20M , $1.57B ,$2.31B, $2.31B 
 Albania ,1984,7.000USD,31.3M, Lek , $0.7K , $3.96M , $1.63B ,$2.28B, $2.28B 
 Albania ,1985,7.000USD,31.7M, Lek , $0.7K , $3.77M , $1.64B ,$2.33B, $2.32B 
 Albania ,1986,7.000USD,32.1M, Lek , $0.7K , $3.61M , $1.71B ,$2.40B, $2.40B 
 Albania ,1987,7.000USD,32.4M, Lek , $0.7K , $3.68M , $1.78B ,$2.38B, $2.38B 
 Albania ,1988,6.670USD,32.6M, Lek , $0.8K , $4.03M , $1.85B ,$2.46B, $2.46B 
 Albania ,1989,6.130USD,32.8M, Lek , $0.9K , $5.28M , $2.13B ,$2.94B, $2.94B 
 Albania ,1990,7.746USD,33.0M, Lek , $0.7K , $3.19M , $1.84B ,$2.14B, $2.15B 
 Albania ,1991,16.246USD,33.0M, Lek , $0.5K , $1.15M , $1.81B ,$1.57B, $1.60B 
 Albania ,1992,75.033USD,33.0M, Lek , $0.4K , $1.74M , $2.61B ,$1.45B, $1.52B 
 Albania ,1993,102.063USD,33.0M, Lek , $0.5K , $2.62M , $2.27B ,$1.68B, $1.70B 
 Albania ,1994,94.623USD,32.9M, Lek , $0.6K , $2.14M , $2.06B ,$1.89B, $1.88B 
 Albania ,1995,92.698USD,32.8M, Lek , $0.7K , $2.99M , $2.49B ,$2.44B, $2.39B 
 Albania ,1996,104.499USD,32.7M, Lek , $1.0K , $4.00M , $3.64B ,$3.27B, $3.20B 
 Albania ,1997,148.933USD,32.5M, Lek , $0.7K , $2.44M , $2.57B ,$2.27B, $2.22B 
 Albania ,1998,150.633USD,32.3M, Lek , $0.8K , $3.18M , $2.87B ,$2.63B, $2.55B 
 Albania ,1999,137.691USD,32.1M, Lek , $1.0K , $5.84M , $3.27B ,$3.30B, $3.22B 
 Albania ,2000,143.709USD,31.8M, Lek , $1.1K , $7.02M , $3.22B ,$3.59B, $3.49B 
 Albania ,2001,143.485USD,31.5M, Lek , $1.3K , $8.38M , $3.49B ,$4.05B, $3.93B 
 Albania ,2002,140.155USD,31.2M, Lek , $1.4K , $9.12M , $3.98B ,$4.47B, $4.36B 
 Albania ,2003,121.863USD,30.9M, Lek , $1.8K , $11.59M , $5.08B ,$5.71B, $5.56B 
 Albania ,2004,102.780USD,30.6M, Lek , $2.4K , $15.95M , $6.35B ,$7.35B, $7.18B 
 Albania ,2005,99.870USD,30.3M, Lek , $2.7K , $18.53M , $7.08B ,$8.21B, $8.05B 
 Albania ,2006,98.103USD,30.0M, Lek , $3.0K , $22.43M , $7.84B ,$9.16B, $8.90B 
 Albania ,2007,90.428USD,29.8M, Lek , $3.7K , $30.16M , $9.85B ,$10.98B, $10.68B 
 Albania ,2008,83.895USD,29.5M, Lek , $4.4K , $32.59M , $12.04B ,$12.95B, $12.88B 
 Albania ,2009,94.978USD,29.3M, Lek , $4.0K , $30.40M , $11.08B ,$11.85B, $12.04B 
 Albania ,2010,103.936USD,29.1M, Lek , $4.1K , $33.37M , $10.65B ,$11.81B, $11.93B 
 Albania ,2011,100.895USD,29.0M, Lek , $4.4K , $37.69M , $11.51B ,$12.89B, $12.89B 
 Albania ,2012,108.185USD,28.9M, Lek , $4.2K , $35.65M , $10.94B ,$12.23B, $12.32B 
 Albania ,2013,105.669USD,28.9M, Lek , $4.5K , $36.94M , $11.63B ,$13.00B, $12.78B 
 Albania ,2014,105.479USD,28.8M, Lek , $4.6K , $37.32M , $12.20B ,$13.35B, $13.23B 
 Albania ,2015,125.961USD,28.8M, Lek , $4.0K , $31.05M , $10.45B ,$11.52B, $11.39B 
 Albania ,2016,124.141USD,28.8M, Lek , $4.2K , $34.37M , $10.94B ,$12.05B, $11.86B 
 Albania ,2017,119.100USD,28.8M, Lek , $4.5K , $41.10M , $11.86B ,$13.05B, $13.02B 
 Albania ,2018,107.989USD,28.8M, Lek , $5.3K , $47.85M , $13.70B ,$15.14B, $15.16B 
 Albania ,2019,109.851USD,28.7M, Lek , $5.3K , $48.21M , $14.07B ,$15.20B, $15.40B 
 Albania ,2020,108.650USD,28.7M, Lek , $5.2K , $34.36M , $13.98B ,$14.88B, $15.13B 
 Albania ,2021,103.520USD,28.5M, Lek , $6.3K , $55.91M , $15.86B ,$17.96B, $18.26B 
 Algeria ,1970,4.937USD,138.0M, Algerian Dinar , $0.4K , $11.41M , $3.76B ,$4.97B, $5.16B 
 Algeria ,1971,4.913USD,141.1M, Algerian Dinar , $0.4K , $9.87M , $4.07B ,$5.39B, $5.36B 
 Algeria ,1972,4.481USD,144.4M, Algerian Dinar , $0.5K , $14.60M , $5.24B ,$7.20B, $7.18B 
 Algeria ,1973,3.962USD,147.9M, Algerian Dinar , $0.6K , $23.44M , $6.29B ,$9.23B, $9.23B 
 Algeria ,1974,4.181USD,151.5M, Algerian Dinar , $0.9K , $51.08M , $7.58B ,$13.17B, $13.26B 
 Algeria ,1975,3.949USD,157.2M, Algerian Dinar , $1.0K , $52.33M , $9.99B ,$15.38B, $15.56B 
 Algeria ,1976,4.164USD,165.0M, Algerian Dinar , $1.1K , $58.38M , $10.86B ,$17.43B, $17.75B 
 Algeria ,1977,4.147USD,171.3M, Algerian Dinar , $1.2K , $63.89M , $13.56B ,$20.61B, $20.99B 
 Algeria ,1978,3.966USD,176.3M, Algerian Dinar , $1.5K , $67.15M , $16.52B ,$25.76B, $26.37B 
 Algeria ,1979,3.853USD,181.7M, Algerian Dinar , $1.8K , $103.34M , $19.72B ,$32.08B, $33.20B 
 Algeria ,1980,3.837USD,187.4M, Algerian Dinar , $2.2K , $145.09M , $24.12B ,$41.03B, $42.25B 
 Algeria ,1981,4.316USD,193.5M, Algerian Dinar , $2.2K , $153.01M , $26.32B ,$42.96B, $44.26B 
 Algeria ,1982,4.592USD,200.0M, Algerian Dinar , $2.2K , $139.54M , $27.50B ,$43.78B, $45.09B 
 Algeria ,1983,4.789USD,206.8M, Algerian Dinar , $2.3K , $136.15M , $29.43B ,$47.47B, $48.70B 
 Algeria ,1984,4.983USD,213.9M, Algerian Dinar , $2.4K , $135.53M , $33.17B ,$51.48B, $52.83B 
 Algeria ,1985,5.028USD,221.3M, Algerian Dinar , $2.6K , $136.20M , $36.95B ,$56.56B, $57.87B 
 Algeria ,1986,4.702USD,228.8M, Algerian Dinar , $2.7K , $82.15M , $44.53B ,$61.52B, $62.92B 
 Algeria ,1987,4.850USD,235.9M, Algerian Dinar , $2.7K , $94.30M , $43.92B ,$62.82B, $64.33B 
 Algeria ,1988,5.915USD,242.4M, Algerian Dinar , $2.3K , $84.17M , $47.23B ,$56.78B, $58.66B 
 Algeria ,1989,7.609USD,248.9M, Algerian Dinar , $2.2K , $102.36M , $44.22B ,$53.61B, $55.34B 
 Algeria ,1990,8.958USD,255.2M, Algerian Dinar , $2.3K , $144.35M , $45.09B ,$59.68B, $61.75B 
 Algeria ,1991,18.473USD,261.3M, Algerian Dinar , $1.7K , $133.16M , $29.64B ,$44.36B, $46.57B 
 Algeria ,1992,21.836USD,267.5M, Algerian Dinar , $1.8K , $121.68M , $33.59B ,$46.96B, $49.11B 
 Algeria ,1993,23.345USD,273.5M, Algerian Dinar , $1.8K , $107.83M , $37.30B ,$49.12B, $50.85B 
 Algeria ,1994,35.059USD,279.4M, Algerian Dinar , $1.5K , $97.50M , $31.43B ,$40.69B, $42.33B 
 Algeria ,1995,47.663USD,284.8M, Algerian Dinar , $1.4K , $111.59M , $30.54B ,$39.84B, $41.97B 
 Algeria ,1996,54.749USD,289.8M, Algerian Dinar , $1.5K , $142.46M , $31.81B ,$44.67B, $46.84B 
 Algeria ,1997,57.707USD,294.8M, Algerian Dinar , $1.6K , $144.76M , $32.77B ,$45.93B, $48.07B 
 Algeria ,1998,58.739USD,299.2M, Algerian Dinar , $1.5K , $110.80M , $35.09B ,$46.13B, $48.08B 
 Algeria ,1999,66.574USD,303.5M, Algerian Dinar , $1.5K , $136.62M , $33.28B ,$46.31B, $48.53B 
 Algeria ,2000,75.260USD,307.7M, Algerian Dinar , $1.7K , $229.99M , $30.23B ,$52.34B, $54.67B 
 Algeria ,2001,77.215USD,312.0M, Algerian Dinar , $1.7K , $200.41M , $32.03B ,$53.46B, $55.06B 
 Algeria ,2002,79.682USD,316.2M, Algerian Dinar , $1.7K , $201.08M , $33.76B ,$54.63B, $56.82B 
 Algeria ,2003,77.395USD,320.6M, Algerian Dinar , $2.0K , $259.57M , $37.52B ,$65.41B, $67.86B 
 Algeria ,2004,72.061USD,325.1M, Algerian Dinar , $2.5K , $341.78M , $44.66B ,$81.82B, $85.33B 
 Algeria ,2005,73.276USD,329.6M, Algerian Dinar , $3.0K , $487.15M , $46.66B ,$98.61B, $103.00B 
 Algeria ,2006,72.647USD,334.4M, Algerian Dinar , $3.4K , $571.22M , $50.25B ,$113.00B, $117.00B 
 Algeria ,2007,69.292USD,339.8M, Algerian Dinar , $3.9K , $635.31M , $58.49B ,$133.00B, $135.00B 
 Algeria ,2008,64.583USD,345.7M, Algerian Dinar , $4.9K , $820.35M , $74.20B ,$170.00B, $171.00B 
 Algeria ,2009,72.647USD,352.0M, Algerian Dinar , $3.9K , $485.34M , $73.69B ,$136.00B, $137.00B 
 Algeria ,2010,74.386USD,358.6M, Algerian Dinar , $4.5K , $619.75M , $83.10B ,$161.00B, $161.00B 
 Algeria ,2011,72.938USD,365.4M, Algerian Dinar , $5.4K , $775.81M , $104.00B ,$198.00B, $200.00B 
 Algeria ,2012,77.536USD,372.6M, Algerian Dinar , $5.6K , $771.23M , $110.00B ,$207.00B, $209.00B 
 Algeria ,2013,79.368USD,380.0M, Algerian Dinar , $5.4K , $696.59M , $113.00B ,$206.00B, $210.00B 
 Algeria ,2014,80.579USD,387.6M, Algerian Dinar , $5.4K , $646.11M , $120.00B ,$209.00B, $214.00B 
 Algeria ,2015,100.691USD,395.4M, Algerian Dinar , $4.1K , $384.60M , $104.00B ,$162.00B, $166.00B 
 Algeria ,2016,109.443USD,403.4M, Algerian Dinar , $3.9K , $334.03M , $101.00B ,$159.00B, $160.00B 
 Algeria ,2017,110.973USD,411.4M, Algerian Dinar , $4.1K , $384.97M , $105.00B ,$168.00B, $170.00B 
 Algeria ,2018,116.594USD,419.3M, Algerian Dinar , $4.1K , $452.34M , $104.00B ,$171.00B, $175.00B 
 Algeria ,2019,119.354USD,427.1M, Algerian Dinar , $3.9K , $390.14M , $106.00B ,$168.00B, $172.00B 
 Algeria ,2020,126.777USD,434.5M, Algerian Dinar , $3.3K , $254.61M , $97.02B ,$143.00B, $146.00B 
 Algeria ,2021,135.064USD,441.8M, Algerian Dinar , $3.6K , $437.04M , $101.00B ,$160.00B, $163.00B 
 Andorra ,1970,0.421USD,.2M, Euro , $5.0K , $.12M , $.07B ,$.10B, $.10B 
 Andorra ,1971,0.418USD,.2M, Euro , $5.3K , $.15M , $.08B ,$.11B, $.11B 
 Andorra ,1972,0.386USD,.2M, Euro , $6.3K , $.19M , $.11B ,$.14B, $.14B 
 Andorra ,1973,0.350USD,.2M, Euro , $7.8K , $.25M , $.14B ,$.19B, $.19B 
 Andorra ,1974,0.347USD,.3M, Euro , $9.1K , $.31M , $.18B ,$.24B, $.24B 
 Andorra ,1975,0.345USD,.3M, Euro , $10.1K , $.34M , $.21B ,$.28B, $.28B 
 Andorra ,1976,0.402USD,.3M, Euro , $9.8K , $.36M , $.22B ,$.29B, $.29B 
 Andorra ,1977,0.457USD,.3M, Euro , $10.4K , $.43M , $.25B ,$.32B, $.32B 
 Andorra ,1978,0.461USD,.3M, Euro , $12.0K , $.54M , $.30B ,$.39B, $.39B 
 Andorra ,1979,0.403USD,.3M, Euro , $15.3K , $.71M , $.40B ,$.52B, $.52B 
 Andorra ,1980,0.431USD,.4M, Euro , $15.9K , $.81M , $.45B ,$.56B, $.56B 
 Andorra ,1981,0.555USD,.4M, Euro , $13.3K , $.80M , $.40B ,$.49B, $.49B 
 Andorra ,1982,0.660USD,.4M, Euro , $12.3K , $.81M , $.38B ,$.48B, $.48B 
 Andorra ,1983,0.862USD,.4M, Euro , $10.3K , $.79M , $.33B ,$.41B, $.41B 
 Andorra ,1984,0.966USD,.4M, Euro , $9.9K , $.89M , $.33B ,$.42B, $.42B 
 Andorra ,1985,1.022USD,.4M, Euro , $10.0K , $.92M , $.34B ,$.44B, $.44B 
 Andorra ,1986,0.842USD,.5M, Euro , $13.4K , $1.11M , $.47B ,$.61B, $.61B 
 Andorra ,1987,0.742USD,.5M, Euro , $16.2K , $1.37M , $.60B ,$.77B, $.77B 
 Andorra ,1988,0.700USD,.5M, Euro , $18.4K , $1.58M , $.70B ,$.91B, $.91B 
 Andorra ,1989,0.711USD,.5M, Euro , $19.5K , $1.67M , $.78B ,$1.01B, $1.01B 
 Andorra ,1990,0.613USD,.5M, Euro , $24.3K , $2.05M , $1.01B ,$1.30B, $1.30B 
 Andorra ,1991,0.625USD,.6M, Euro , $25.3K , $2.21M , $1.09B ,$1.40B, $1.40B 
 Andorra ,1992,0.615USD,.6M, Euro , $26.7K , $2.48M , $1.22B ,$1.53B, $1.53B 
 Andorra ,1993,0.765USD,.6M, Euro , $21.5K , $2.26M , $1.02B ,$1.27B, $1.27B 
 Andorra ,1994,0.805USD,.6M, Euro , $21.1K , $2.62M , $1.02B ,$1.29B, $1.29B 
 Andorra ,1995,0.749USD,.6M, Euro , $23.7K , $3.26M , $1.17B ,$1.49B, $1.49B 
 Andorra ,1996,0.761USD,.6M, Euro , $24.1K , $3.57M , $1.21B ,$1.55B, $1.55B 
 Andorra ,1997,0.880USD,.6M, Euro , $23.1K , $3.83M , $1.15B ,$1.49B, $1.49B 
 Andorra ,1998,0.898USD,.7M, Euro , $23.5K , $4.00M , $1.17B ,$1.53B, $1.53B 
 Andorra ,1999,0.939USD,.7M, Euro , $23.9K , $4.13M , $1.20B ,$1.57B, $1.57B 
 Andorra ,2000,1.085USD,.7M, Euro , $21.6K , $4.08M , $1.09B ,$1.43B, $1.43B 
 Andorra ,2001,1.118USD,.7M, Euro , $22.8K , $4.31M , $1.17B ,$1.55B, $1.55B 
 Andorra ,2002,1.063USD,.7M, Euro , $24.8K , $4.66M , $1.32B ,$1.76B, $1.76B 
 Andorra ,2003,0.886USD,.7M, Euro , $32.0K , $6.05M , $1.76B ,$2.36B, $2.36B 
 Andorra ,2004,0.805USD,.8M, Euro , $37.6K , $7.36M , $2.18B ,$2.90B, $2.90B 
 Andorra ,2005,0.804USD,.8M, Euro , $39.6K , $7.89M , $2.38B ,$3.16B, $3.16B 
 Andorra ,2006,0.797USD,.8M, Euro , $43.1K , $8.72M , $2.60B ,$3.46B, $3.46B 
 Andorra ,2007,0.731USD,.8M, Euro , $50.6K , $10.27M , $2.98B ,$3.95B, $3.95B 
 Andorra ,2008,0.683USD,.8M, Euro , $53.7K , $10.47M , $3.12B ,$4.09B, $4.09B 
 Andorra ,2009,0.720USD,.7M, Euro , $49.8K , $8.47M , $2.85B ,$3.67B, $3.67B 
 Andorra ,2010,0.755USD,.7M, Euro , $48.2K , $8.94M , $2.71B ,$3.45B, $3.45B 
 Andorra ,2011,0.719USD,.7M, Euro , $51.4K , $10.70M , $2.87B ,$3.62B, $3.62B 
 Andorra ,2012,0.778USD,.7M, Euro , $44.9K , $10.03M , $2.54B ,$3.19B, $3.19B 
 Andorra ,2013,0.753USD,.7M, Euro , $44.7K , $10.52M , $2.52B ,$3.19B, $3.19B 
 Andorra ,2014,0.754USD,.7M, Euro , $45.6K , $10.94M , $2.58B ,$3.27B, $3.27B 
 Andorra ,2015,0.902USD,.7M, Euro , $38.9K , $9.37M , $2.17B ,$2.79B, $2.79B 
 Andorra ,2016,0.904USD,.7M, Euro , $39.9K , $9.80M , $2.24B ,$2.89B, $2.89B 
 Andorra ,2017,0.885USD,.7M, Euro , $40.6K , $10.54M , $2.31B ,$3.00B, $3.00B 
 Andorra ,2018,0.847USD,.8M, Euro , $42.9K , $11.31M , $2.47B ,$3.22B, $3.22B 
 Andorra ,2019,0.893USD,.8M, Euro , $41.3K , $11.01M , $2.41B ,$3.16B, $3.16B 
 Andorra ,2020,0.876USD,.8M, Euro , $37.2K , $8.90M , $2.26B ,$2.89B, $2.89B 
 Andorra ,2021,0.845USD,.8M, Euro , $42.1K , $11.61M , $2.58B ,$3.32B, $3.32B 
 Angola ,1970,0.000USD,60.3M, Kwanza , $0.6K , $13.48M , $2.85B ,$3.60B, $3.81B 
 Angola ,1971,0.000USD,61.8M, Kwanza , $0.6K , $14.22M , $3.00B ,$3.76B, $4.01B 
 Angola ,1972,0.000USD,63.6M, Kwanza , $0.6K , $14.56M , $3.07B ,$3.88B, $4.10B 
 Angola ,1973,0.000USD,65.8M, Kwanza , $0.7K , $17.78M , $3.76B ,$4.73B, $5.02B 
 Angola ,1974,0.000USD,68.0M, Kwanza , $0.8K , $19.95M , $4.23B ,$5.31B, $5.63B 
 Angola ,1975,0.000USD,70.3M, Kwanza , $0.6K , $14.59M , $3.10B ,$3.91B, $4.15B 
 Angola ,1976,0.000USD,72.7M, Kwanza , $0.5K , $14.26M , $2.97B ,$3.74B, $3.98B 
 Angola ,1977,0.000USD,75.1M, Kwanza , $0.5K , $15.43M , $3.26B ,$4.11B, $4.34B 
 Angola ,1978,0.000USD,77.7M, Kwanza , $0.6K , $17.10M , $3.66B ,$4.58B, $4.85B 
 Angola ,1979,0.000USD,80.4M, Kwanza , $0.6K , $19.06M , $4.06B ,$5.05B, $5.38B 
 Angola ,1980,0.000USD,83.3M, Kwanza , $0.8K , $24.20M , $5.22B ,$6.75B, $7.15B 
 Angola ,1981,0.000USD,86.3M, Kwanza , $0.7K , $26.12M , $4.97B ,$6.32B, $6.69B 
 Angola ,1982,0.000USD,89.5M, Kwanza , $0.7K , $22.75M , $5.16B ,$6.35B, $6.69B 
 Angola ,1983,0.000USD,92.8M, Kwanza , $0.7K , $23.79M , $5.46B ,$6.55B, $6.98B 
 Angola ,1984,0.000USD,96.2M, Kwanza , $0.7K , $26.77M , $5.52B ,$6.89B, $7.39B 
 Angola ,1985,0.000USD,99.7M, Kwanza , $0.9K , $29.97M , $7.10B ,$8.72B, $9.11B 
 Angola ,1986,0.000USD,103.3M, Kwanza , $0.8K , $19.66M , $7.24B ,$8.12B, $8.55B 
 Angola ,1987,0.000USD,106.9M, Kwanza , $0.9K , $32.28M , $7.38B ,$9.46B, $9.84B 
 Angola ,1988,0.000USD,110.6M, Kwanza , $0.9K , $34.89M , $8.33B ,$9.46B, $10.63B 
 Angola ,1989,0.000USD,114.4M, Kwanza , $1.0K , $41.82M , $9.53B ,$11.06B, $12.37B 
 Angola ,1990,0.000USD,118.3M, Kwanza , $1.0K , $53.15M , $10.00B ,$11.97B, $13.66B 
 Angola ,1991,0.000USD,122.3M, Kwanza , $1.3K , $40.46M , $14.16B ,$16.19B, $16.18B 
 Angola ,1992,0.000USD,126.3M, Kwanza , $0.6K , $128.67M , $18.59B ,$7.83B, $18.59B 
 Angola ,1993,0.000USD,130.4M, Kwanza , $0.6K , $72.60M , $10.11B ,$7.56B, $13.47B 
 Angola ,1994,0.000USD,134.6M, Kwanza , $0.5K , $118.31M , $9.34B ,$6.07B, $13.86B 
 Angola ,1995,0.003USD,139.1M, Kwanza , $0.4K , $50.59M , $4.93B ,$5.72B, $6.64B 
 Angola ,1996,0.128USD,143.8M, Kwanza , $0.5K , $72.18M , $4.53B ,$6.76B, $8.73B 
 Angola ,1997,0.229USD,148.7M, Kwanza , $0.6K , $70.03M , $7.69B ,$9.00B, $10.23B 
 Angola ,1998,0.393USD,153.7M, Kwanza , $0.5K , $48.42M , $6.99B ,$7.33B, $8.62B 
